date,day,anchor_time,direction,entry,sl,tp,exit_price,risk_dollars,pnl,rr_achieved,outcome,exit_time
2025-04-29,Tuesday,13:30,long,3318.95,3316.17,3327.3,3316.17,30,-30.0,-1.0,sl,2025-04-29 13:40:00
2025-05-06,Tuesday,13:30,short,3392.35,3397.79,3376.02,3397.79,30,-30.0,-1.0,sl,2025-05-06 14:10:00
2025-05-07,Wednesday,13:30,long,3390.2,3386.17,3402.31,3386.17,30,-30.0,-1.0,sl,2025-05-07 14:05:00
2025-05-08,Thursday,13:30,long,3367.5,3364.27,3377.2,3364.27,30,-30.0,-1.0,sl,2025-05-08 13:40:00
2025-05-09,Friday,13:30,short,3336.27,3338.81,3328.64,3338.81,30,-30.0,-1.0,sl,2025-05-09 13:40:00
2025-05-13,Tuesday,13:30,short,3239.83,3242.83,3230.83,3230.83,30,90.0,3.0,tp,2025-05-13 13:55:00
2025-05-14,Wednesday,13:30,long,3193.9,3187.04,3214.46,3187.04,30,-30.0,-1.0,sl,2025-05-14 13:40:00
2025-05-15,Thursday,13:30,long,3194.23,3189.11,3209.58,3189.11,30,-30.0,-1.0,sl,2025-05-15 13:45:00
2025-05-16,Friday,13:30,long,3183.03,3179.93,3192.32,3179.93,30,-30.0,-1.0,sl,2025-05-16 13:40:00
2025-05-20,Tuesday,13:30,long,3241.32,3240.23,3244.6,3240.23,30,-30.0,-1.0,sl,2025-05-20 13:40:00
2025-05-21,Wednesday,13:30,short,3304.46,3310.03,3287.73,3310.03,30,-30.0,-1.0,sl,2025-05-21 15:05:00
2025-05-22,Thursday,13:30,short,3307.62,3312.8,3292.08,3292.08,30,90.0,3.0,tp,2025-05-22 13:50:00
2025-05-23,Friday,13:30,short,3341.41,3345.84,3328.12,3345.84,30,-30.0,-1.0,sl,2025-05-23 13:40:00
2025-05-27,Tuesday,13:30,long,3303.77,3298.62,3319.21,3298.62,30,-30.0,-1.0,sl,2025-05-27 13:40:00
2025-05-28,Wednesday,13:30,short,3304.11,3310.01,3286.4,3286.4,30,90.0,3.0,tp,2025-05-28 20:50:00
2025-05-29,Thursday,13:30,short,3317.26,3321.09,3305.79,3305.79,30,90.0,3.0,tp,2025-05-29 14:40:00
2025-05-30,Friday,13:30,long,3295.84,3291.81,3307.96,3291.81,30,-30.0,-1.0,sl,2025-05-30 13:40:00
2025-06-03,Tuesday,13:30,short,3352.09,3357.25,3336.61,3336.61,30,90.0,3.0,tp,2025-06-03 14:00:00
2025-06-10,Tuesday,13:30,short,3343.7,3345.63,3337.91,3345.63,30,-30.0,-1.0,sl,2025-06-10 13:40:00
2025-06-11,Wednesday,13:30,long,3338.53,3335.15,3348.65,3335.15,30,-30.0,-1.0,sl,2025-06-11 13:40:00
2025-06-12,Thursday,13:30,long,3388.37,3387.22,3391.84,3391.84,30,90.0,3.0,tp,2025-06-12 13:40:00
2025-06-13,Friday,13:30,long,3443.67,3441.02,3451.63,3441.02,30,-30.0,-1.0,sl,2025-06-13 13:40:00
2025-06-17,Tuesday,13:30,short,3392.76,3397.45,3378.67,3378.67,30,90.0,3.0,tp,2025-06-17 14:30:00
2025-06-19,Thursday,13:30,long,3366.17,3361.65,3379.76,3361.65,30,-30.0,-1.0,sl,2025-06-19 14:30:00
2025-06-20,Friday,13:30,long,3361.95,3358.9,3371.07,3371.07,30,90.0,3.0,tp,2025-06-20 13:50:00
2025-06-24,Tuesday,13:30,short,3305.4,3309.93,3291.82,3309.93,30,-30.0,-1.0,sl,2025-06-24 14:15:00
2025-06-25,Wednesday,13:30,short,3312.02,3315.18,3302.53,3315.18,30,-30.0,-1.0,sl,2025-06-25 13:45:00
